Brand Name,Spec Score,Rating,Price,Tag,Processor Name,Processor Type,Processor Speed,RAM,Internal Storage,Battery Capacity,Battery Feature,SIM Type,Extra Feature,Display Size,Display Resolution,Display Feature,Memory External,OS Version,Camera,Image Preview
vivo x200 pro mini,90,4.35,55990,upcoming,dimensity 9400,octa core,3.63 ghz processor GHz,12 gb ram,256 gb inbuilt,5700mAh 90W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.31 inch,"1216 x 2640 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp + 50 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-iehtkhr1o-w280-h280/vivo-x200-pro-mini.webp
vivo y29s 5g,76,4.35,15990,upcoming,dimensity 6300,octa core,2.4 ghz processor GHz,8 gb ram,256 gb inbuilt,5500mAh 15W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.74 inch,"720 x 1600 px, 90 Hz",with punch hole,"memory card supported, upto 2 tb",android v15,50 mp + 0.08 mp dual rear & 5 mp front camera,https://cdn1.smartprix.com/rx-ifl0fj6zn-w280-h280/vivo-y29s-5g.webp
oppo reno 13f,84,4.2,32990,upcoming,snapdragon 6 gen1,octa core,2.2 ghz processor GHz,8 gb ram,128 gb inbuilt,5800mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,memory card (hybrid),android v15,50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-igj0rthkk-w280-h280/oppo-reno-13f.webp
vivo x300,79,4.5,54990,rumored,dimensity 9500,octa core processor,,12 gb ram,256 gb inbuilt,6000mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.67 inch,"1260 x 2800 px, 120 Hz",with punch hole,memory card not supported,android v15,50 mp + 50 mp dual rear & 50 mp front camera,https://cdn1.smartprix.com/rx-i1txzkgcq-w280-h280/vivo-x300.webp
infinix note 50,82,4.5,14990,upcoming,helio g100,octa core,2.2 ghz processor GHz,8 gb ram,256 gb inbuilt,5200mAh 45W,Fast Charging,"dual sim, 3g, 4g, volte","wi-fi, nfc, ir blaster",6.78 inch,"1080 x 2436 px, 144 Hz",with punch hole,"memory card supported, upto 2 tb",android v15,50 mp + 2 mp dual rear & 13 mp front camera,https://cdn1.smartprix.com/rx-i3ub9f5zp-w280-h280/infinix-note-50.webp
nubia red magic 10 pro 5g,87,4.05,59990,upcoming,snapdragon 8 elite,octa core,4.32 ghz processor GHz,12 gb ram,256 gb inbuilt,6500mAh 80W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc, ir blaster",6.85 inch,"1216 x 2688 px, 144 Hz",no punch hole,memory card not supported,android v15,50 mp + 50 mp + 2 mp triple rear & 16 mp front camera,https://cdn1.smartprix.com/rx-i4gt0hds9-w280-h280/nubia-red-magic-10-p.webp
samsung galaxy f17 5g,73,4.4,16990,rumored,octa core processor,,,6 gb ram,128 gb inbuilt,6000mAh 25W,Fast Charging,"dual sim, 3g, 4g, 5g, volte",wi-fi,6.67 inch,"1080 x 2400 px, 120 Hz",with punch hole,"memory card (hybrid), upto 1 tb",android v15,108 mp + 13 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-i07gfpkqu-w280-h280/samsung-galaxy-f17-5.webp
nokia x200,83,4.7,24999,rumored,snapdragon 6 gen 1,octa core,2.2 ghz processor GHz,8 gb ram,128 gb inbuilt,5000mAh 33W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.7 inch,"1080 x 2400 px, 90 Hz",with punch hole,"memory card supported, upto 1000 gb",android v13,50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-imw7e5ird-w280-h280/nokia-x200.webp
oppo reno 14f,84,4.0,34990,upcoming,snapdragon 6 gen1,octa core,2.2 ghz processor GHz,8 gb ram,256 gb inbuilt,6000mAh 45W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","wi-fi, nfc",6.57 inch,"1080 x 2372 px, 120 Hz",with punch hole,memory card supported,android v15,50 mp + 8 mp + 2 mp triple rear & 32 mp front camera,https://cdn1.smartprix.com/rx-itvelpvtp-w280-h280/oppo-reno-14f.webp
oneplus 14 pro,83,4.15,89990,rumored,snapdragon 8 elite 2,octa core processor,,12 gb ram,256 gb inbuilt,6500mAh 120W,Fast Charging,"dual sim, 3g, 4g, 5g, volte","vo5g, wi-fi, nfc, ir blaster",6.84 inch,"1440 x 3168 px, 120 Hz",with punch hole,memory card not supported,android v16,50 mp + 50 mp + 50 mp triple rear & 50 mp front camera,https://cdn1.smartprix.com/rx-ih0mtdyms-w280-h280/oneplus-14-pro.webp
